# Product Model -> Original Site URL Mapping
# Format: model|url

# LED Rechargeable Work Light (639505)
ET1-E001|https://www.smartware-official.com/ET1-E001-PG10702394
ET1-E001C|https://www.smartware-official.com/ET1-E001C-PG10702395
ET1-E017|https://www.smartware-official.com/ET1-E017-PG10702415
ET1-E017C|https://www.smartware-official.com/ET1-E017C-PG10702429
ET1-E022|https://www.smartware-official.com/ET1-E022-PG10702439
ET1-E027|https://www.smartware-official.com/ET1-E027-PG10702458
ET1-E032|https://www.smartware-official.com/ET1-E032-PG10702514
ET1-E007|https://www.smartware-official.com/ET1-E007-PG10702546
ET1-E014|https://www.smartware-official.com/ET1-E014-PG10702597
ET1-E005|https://www.smartware-official.com/ET1-E005-PG10702400
ET1-E013C|https://www.smartware-official.com/ET1-E013C-PG10702413
ET1-E013|https://www.smartware-official.com/ET1-E013-PG10702408
# LED Rechargeable Work Light (639505) - Page 2
ET1-E006|https://www.smartware-official.com/ET1-E006-PG10702535
ET1-E012|https://www.smartware-official.com/ET1-E012-PG10702544
ET1-E026|https://www.smartware-official.com/ET1-E026-PG10702448
ET1-E028|https://www.smartware-official.com/ET1-E028-PG10702471
ET1-E010|https://www.smartware-official.com/ET1-E010-PG10702405
ET1-E011|https://www.smartware-official.com/ET1-E011-PG10702576
ET1-E029|https://www.smartware-official.com/ET1-E029-PG10702486
ET1-E030|https://www.smartware-official.com/ET1-E030-PG10702494
ET1-E009|https://www.smartware-official.com/ET1-E009-PG10702543
ET1-E034|https://www.smartware-official.com/ET1-E034-PG10702523
# LED Work Light (639513)
ET5-H009|https://www.smartware-official.com/ET5-H009-PG10702618
ET5-H011|https://www.smartware-official.com/ET5-H011-PG10702500
ET1-G002AC|https://www.smartware-official.com/ET1-G002AC-PG10702411
ET1-C003|https://www.smartware-official.com/ET1-C003-PG10702534
ET1-C049|https://www.smartware-official.com/ET1-C049-PG10702493
ET1-G001AC|https://www.smartware-official.com/ET1-G001AC-PG10702409
ET1-C001|https://www.smartware-official.com/ET1-C001-PG10702516
ET1-C082|https://www.smartware-official.com/ET1-C082-PG10702497
ET1-A017H|https://www.smartware-official.com/ET1-A017H-PG10702362
ET1-C002|https://www.smartware-official.com/ET1-C002-PG10702525
ET1-B018|https://www.smartware-official.com/ET1-B018-PG10702472
ET1-B020|https://www.smartware-official.com/ET1-B020-PG10702354
# LED Work Light (639513) - Page 2
ET10-B061|https://www.smartware-official.com/ET10-B061-PG10702638
ET1-B025|https://www.smartware-official.com/ET1-B025-PG10702474
ET1-A003|https://www.smartware-official.com/ET1-A003-PG10702306
ET1-B007|https://www.smartware-official.com/ET1-B007-PG10702461
ET1-A002|https://www.smartware-official.com/ET1-A002-PG10702304
ET1-G003AC|https://www.smartware-official.com/ET1-G003AC-PG10702414
ET1-A022|https://www.smartware-official.com/ET1-A022-PG10702336
ET1-A016|https://www.smartware-official.com/ET1-A016-PG10702332
ET1-A006-3|https://www.smartware-official.com/ET1-A006-3-PG10702312
ET1-A004|https://www.smartware-official.com/ET1-A004-PG10702308
ET1-A001C|https://www.smartware-official.com/ET1-A001C-PG10702302
ET1-A001|https://www.smartware-official.com/ET1-A001-PG10702298
# LED Work Light (639513) - Page 3
ET1-A041|https://www.smartware-official.com/ET1-A041-PG10702351
ET1-A030|https://www.smartware-official.com/ET1-A030-PG10702342
ET1-A031|https://www.smartware-official.com/ET1-A031-PG10702344
ET5-H013|https://www.smartware-official.com/ET5-H013-PG10702386
ET5-H012|https://www.smartware-official.com/ET5-H012-PG10702385
ET5-H010|https://www.smartware-official.com/ET5-H010-PG10702380
ET5-B016|https://www.smartware-official.com/ET5-B016-PG10702378
ET5-B015|https://www.smartware-official.com/ET5-B015-PG10702374
ET5-B014|https://www.smartware-official.com/ET5-B014-PG10702370
ET1-A007|https://www.smartware-official.com/ET1-A007-PG10702366
ET1-A021|https://www.smartware-official.com/ET1-A021-PG10702363
ET1-A008|https://www.smartware-official.com/ET1-A008-PG10702361
